sentence	voicevox_says	kuromoji_expects
「3時ごろまでに、1時間ぐらい話そう。」	さんじごろまでにいちじかんぐらいわなそお	じごろまでにじかんぐらいわなそお
「8時から始めて、ピアノとギターやテニスなどを話したい」	わちじからわじめてぴあのとぎたあやてにすなどおわなしたい	じからわじめてぴあのとぎたやてにすなどおわなしたい
「あのう、明日のミーティング、何時からですか?」と聞きました。	あのおあしたのみいてぃんぐなんじからですかとききました	あのおあしたのみてぃんぐなんじからですかとききました
「いつから痛いですか」「アレルギーはありますか」など、聞かれることは大体決まっている。	いつからいたいですかあれるぎいわありますかなどきかれることわだいたいきまってえる	いつからいたいですかあれるぎわありますかなどきかれることわだいたいきまってえる
「いつとどきますか」ときくと、「一週間ぐらいです」とおしえてくれました。	いつとどきますかときくといっしゅうかんぐらいですとおしえてくれました	いつとどきますかときくといちしゅうかんぐらいですとおしえてくれました
「ごちそうさまでした」と言ってから、「行ってきます」。お母さんは「行ってらっしゃい」と笑いました。	ごちそおさまでしたといってからいってきますおかあさんわいってらっしゃいとわらいました	ごちそおさまでしたといってからおこなってきますおかあさんわおこなってらっしゃいとわらいました
「それでスケジュール変更?だからメールも届いていない?けれども、私は知らされていません」	それですけじゅうるえんこおだからめえるもとどいてえないけれどもわたしわしらされてえません	それですけじゅるえんこおだからめるもとどいてえないけれどもわたしわしらされてえません
「でも、今ちょっと風邪気味で…」「お大事に」と返しました。	でもいまちょっとかぜぎみでおだいじにとかえしました	でもいまちょっとかぜぎみで…おだいじにとかえしました
「見られる」には受身・尊敬・可能という複数の意味があるが、「見れる」なら可能の意味だと一目で分かるからだ。	みられるにわうけみそんけえかのおというふくすうのいみがあるがみれるならかのおのいみだとひとめでわかるからだ	みられるにわうけみそんけえかのおというふくすうのいみがあるがみれるならかのおのいみだといちもくでわかるからだ
「東京ラブストーリー」というドラマ。	とおきょおらぶすとおりいというどらま	とおきょおらぶすとりというどらま
「必ず、絶対忘れないで」と言われました。特に大切なメモは、普通のノートに書きません。	かならずぜったいわすれないでといわれましたとくにたいせつなめもわふつうののおとにかきません	かならずぜったいわすれないでといわれましたとくにたいせつなめもわふつうののとにかきません
「明日世界を征服する」などと、彼はいつも酔うと戯言ばかり並べる。	あしたせかいおせえふくするなどとかれわいつもよおとざれごとばかりならべる	あしたせかいおせえふくするなどとかれわいつもよおとたわごとばかりならべる
